framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,DiffReacAdv,mno,MNO,large,ood,0.0562356486916542,0.0448155254125595,0.3792889732867479,4000,ood_par.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mno,MNO,large,ood,0.0714870914816856,0.0514534041285514,0.3816421963274479,4000,ood_par_init_GP.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,DiffReacAdv,mno,MNO,large,ood,0.0927289575338363,0.0323327332735061,0.3798594325780868,4000,ood_par_init_amp.h5,10000,16678040,282.66687248274684,200,0.001,64,20,100,40.0
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,test,0.1521409004926681,0.0523366928100585,0.3341471292078495,4000,,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.3478539586067199,0.2236999124288559,0.3348799012601375,4000,ood.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.1226764693856239,0.0418805852532386,0.3337609730660915,4000,ood_init_GP.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.5246707797050476,0.2205633670091629,0.3350004144012928,4000,ood_init_amp.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.3478539586067199,0.2236999124288559,0.3339074365794658,4000,ood_par.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.2419733554124832,0.1650135219097137,0.3354467321187258,4000,ood_par_init_GP.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,small,ood,0.5311954021453857,0.1704199463129043,0.3338276948779821,4000,ood_par_init_amp.h5,10000,306501,246.95974685437977,200,0.001,64,50,50,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,test,0.1119448691606521,0.026013147085905,0.4134547188878059,4000,,10000,2198001,246.58877782151103,200,0.001,64,100,100,
